Scheduled_dt,avg_delay,median_delay,std_delay,n_obs
2017-05-31 23:30:00,9.940000000000001,8.233333333333333,4.720325436050169,5
2017-06-01 00:00:00,73.18174603174603,5.466666666666667,312.3758534248607,21
2017-06-01 00:30:00,2.930392156862745,2.2666666666666666,4.206196797971771,17
2017-06-01 01:00:00,0.8520833333333333,0.22499999999999998,1.984632177747902,8
2017-06-01 01:30:00,1.6958333333333333,0.725,3.0017554387867302,8
2017-06-01 02:00:00,0.8374999999999999,0.325,3.0441874154200854,12
2017-06-01 02:30:00,0.9388888888888888,0.8833333333333333,0.9334821309960297,9
2017-06-01 03:00:00,0.8782051282051282,0.8166666666666667,1.5560572298486013,13
2017-06-01 03:30:00,5.915625,1.7333333333333334,8.023478207504292,16
2017-06-01 04:00:00,0.8315789473684211,-0.2,3.5991078058389254,19
2017-06-01 04:30:00,1.753174603174603,1.5833333333333333,2.2298643397177713,21
2017-06-01 05:00:00,1.5711111111111111,0.85,4.525430343697462,30
2017-06-01 05:30:00,1.5504761904761903,0.16666666666666666,4.807861355355927,35
2017-06-01 06:00:00,2.8450757575757577,1.0666666666666667,8.932565756930046,44
2017-06-01 06:30:00,1.748941798941799,1.1666666666666667,3.8285709933860064,63
2017-06-01 07:00:00,1.7052941176470586,1.5166666666666666,3.865335885324887,85
2017-06-01 07:30:00,1.0129032258064516,0.85,5.453144800827668,93
2017-06-01 08:00:00,2.3826210826210823,1.1833333333333333,5.354663431564784,117
2017-06-01 08:30:00,4.002801120448179,3.683333333333333,4.772456737502797,119
2017-06-01 09:00:00,4.855942028985507,3.45,7.054629558186423,115
2017-06-01 09:30:00,5.103993055555556,3.408333333333333,7.16057625535286,96
2017-06-01 10:00:00,4.6134469696969695,2.9000000000000004,6.587755126859181,88
2017-06-01 10:30:00,5.245454545454546,5.066666666666666,7.673922406690902,88
2017-06-01 11:00:00,7.417790262172284,4.433333333333334,10.768602883690214,89
2017-06-01 11:30:00,5.360795454545454,2.4,8.882738307824452,88
2017-06-01 12:00:00,7.625653594771241,5.65,9.312978946143526,102
2017-06-01 12:30:00,10.278549382716049,8.625,10.922501484825352,108
2017-06-01 13:00:00,13.779333333333334,7.883333333333334,18.01652969619585,125
2017-06-01 13:30:00,7.751612903225806,5.933333333333334,9.272074803545161,93
2017-06-01 14:00:00,10.279680365296803,5.933333333333334,12.37445635623901,73
2017-06-01 14:30:00,9.655128205128205,6.825,11.31658291882283,104
2017-06-01 15:00:00,7.143867924528302,4.766666666666667,8.164161690804933,106
2017-06-01 15:30:00,9.65248538011696,6.341666666666667,10.858935310107796,114
2017-06-01 16:00:00,8.79617737003058,6.133333333333334,9.061625616404045,109
2017-06-01 16:30:00,8.66368563685637,5.633333333333334,9.4763635668149,123
2017-06-01 17:00:00,11.678840579710144,10.316666666666666,9.078633185413866,115
2017-06-01 17:30:00,11.559420289855073,8.566666666666666,12.354652257733774,115
2017-06-01 18:00:00,9.234183673469389,7.175000000000001,8.536011369818123,98
2017-06-01 18:30:00,6.781541218637992,5.35,7.981494849866131,93
2017-06-01 19:00:00,8.097752808988764,5.816666666666666,7.795214793745357,89
2017-06-01 19:30:00,8.177489177489177,6.316666666666666,7.027767485840873,77
2017-06-01 20:00:00,7.633101851851852,5.133333333333333,10.289838604463728,72
2017-06-01 20:30:00,8.306989247311828,5.85,9.29271976849044,62
2017-06-01 21:00:00,7.653061224489796,6.033333333333333,9.429187640196998,49
2017-06-01 21:30:00,6.493518518518519,3.1,10.138081811756576,36
2017-06-01 22:00:00,7.333333333333333,2.7333333333333334,10.61985923901114,27
2017-06-01 22:30:00,9.150757575757575,5.083333333333334,11.640974519280496,22
2017-06-01 23:00:00,9.18968253968254,7.9,12.455974109048677,21
2017-06-01 23:30:00,14.837962962962962,14.25,10.3542811163526,18
2017-06-02 00:00:00,6.902222222222222,4.65,9.759254595743993,15
2017-06-02 00:30:00,5.614814814814815,4.45,4.833275486093617,18
2017-06-02 01:00:00,5.178571428571429,6.4,3.8625662440167927,7
2017-06-02 01:30:00,1.8479166666666667,0.9666666666666666,3.256732190938036,8
2017-06-02 02:00:00,2.046969696969697,1.3666666666666667,2.6448673373769114,11
2017-06-02 02:30:00,1.5611111111111111,1.45,3.4438552363432597,9
2017-06-02 03:00:00,1.3666666666666667,1.4833333333333334,2.301605719685474,11
2017-06-02 03:30:00,4.881481481481482,0.625,9.453987105232978,18
2017-06-02 04:00:00,1.3083333333333333,0.14166666666666666,3.8532689529711814,14
2017-06-02 04:30:00,7.259259259259259,1.5750000000000002,16.443479370197533,18
2017-06-02 05:00:00,1.1820987654320987,0.45,2.9771886509548713,27
2017-06-02 05:30:00,6.859999999999999,1.4666666666666666,13.955857228432516,35
2017-06-02 06:00:00,3.1744444444444446,0.3,10.73308410981212,30
2017-06-02 06:30:00,4.679908675799087,1.1833333333333333,13.185910385998891,73
2017-06-02 07:00:00,3.586666666666667,2.5166666666666666,8.432707408229236,85
2017-06-02 07:30:00,2.7672413793103448,2.25,3.6738842355821526,87
2017-06-02 08:00:00,3.575287356321839,2.8666666666666667,4.870305609333208,116
2017-06-02 08:30:00,4.709309309309309,3.6166666666666667,4.9380135890333685,111
2017-06-02 09:00:00,6.0805,5.0,6.399964074236289,100
2017-06-02 09:30:00,4.828488372093023,4.008333333333334,7.0453483779391535,86
2017-06-02 10:00:00,5.186973180076628,4.383333333333334,7.4512162029009135,87
2017-06-02 10:30:00,5.663333333333333,4.975,6.567320258733697,90
2017-06-02 11:00:00,9.727946127946128,6.683333333333334,11.236647109150113,99
2017-06-02 11:30:00,10.342941176470587,6.6,11.430673072108188,85
2017-06-02 12:00:00,6.788888888888889,5.816666666666666,8.390480621297012,93
2017-06-02 12:30:00,9.560688405797102,7.925,10.420478447344024,92
2017-06-02 13:00:00,8.381818181818183,5.933333333333334,9.643064937126182,88
2017-06-02 13:30:00,10.676818181818183,7.699999999999999,11.976033043499573,110
2017-06-02 14:00:00,12.65880503144654,8.6,13.542065993144597,106
2017-06-02 14:30:00,10.853030303030302,6.966666666666667,11.110913164301081,110
2017-06-02 15:00:00,14.828166666666666,11.241666666666667,13.713175297487393,100
2017-06-02 15:30:00,17.09565826330532,13.1,15.113865602081482,119
2017-06-02 16:00:00,15.806845238095239,11.975,13.911434533456132,112
2017-06-02 16:30:00,20.404741379310344,17.05,17.2706957425032,116
2017-06-02 17:00:00,21.05426997245179,14.916666666666666,16.55736444194983,121
2017-06-02 17:30:00,24.91,21.233333333333334,17.683097351855835,130
2017-06-02 18:00:00,24.850515463917525,20.25,16.793621070024365,97
